2026-06-30 12:26:30,672 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:26:30,674 | INFO | candidate_transformer | ATS JSON parsed: File Candidate (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:26:30,677 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:26:30,677 | INFO | candidate_transformer | ATS JSON parsed: John Doe (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:26:30,679 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:26:30,680 | INFO | candidate_transformer | ATS JSON parsed: Single Name Field (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:26:30,682 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:26:30,682 | INFO | candidate_transformer | ATS JSON parsed: None (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:26:30,684 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:26:30,684 | INFO | candidate_transformer | ATS JSON parsed: None (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:26:30,686 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:26:30,686 | INFO | candidate_transformer | ATS JSON parsed: None (3 skills, 0 experience entries, 0 education entries)
2026-06-30 12:26:30,687 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:26:30,688 | INFO | candidate_transformer | ATS JSON parsed: None (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:26:30,689 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:26:30,689 | INFO | candidate_transformer | ATS JSON parsed: Applicant Wrapper (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:26:30,701 | INFO | candidate_transformer | Parsing recruiter CSV: C:\Users\hp\AppData\Local\Temp\pytest-of-hp\pytest-10\test_csv_parser0\candidate.csv
2026-06-30 12:26:30,717 | INFO | candidate_transformer | CSV loaded with 1 rows
2026-06-30 12:26:30,719 | INFO | candidate_transformer | CSV parsed successfully: John Doe
2026-06-30 12:26:30,732 | INFO | candidate_transformer | Fetching GitHub profile for: torvalds
2026-06-30 12:26:30,732 | INFO | candidate_transformer | GitHub profile parsed: Linus Torvalds (3 skills, 1 projects)
2026-06-30 12:26:30,739 | INFO | candidate_transformer | Parsing LinkedIn URL: https://www.linkedin.com/in/john-doe-12345
2026-06-30 12:26:30,754 | INFO | candidate_transformer | Parsing LinkedIn URL: linkedin.com/in/sanjay-sarvesh
2026-06-30 12:26:30,759 | INFO | candidate_transformer | Parsing LinkedIn URL: https://example.com/not-linkedin
2026-06-30 12:26:30,759 | WARNING | candidate_transformer | Could not extract LinkedIn username from: https://example.com/not-linkedin
2026-06-30 12:26:30,761 | INFO | candidate_transformer | Parsing LinkedIn URL: https://www.linkedin.com/in/dev-engineer
2026-06-30 12:26:30,766 | INFO | candidate_transformer | Parsing LinkedIn URL: 
